B13-geo01,B13-geo02,B13-geo03,B13-geo04,B13-geo05,B13-geo06,B13-geo07,B13-geo08,B13-geo09,B13-pop01,B13-soc01,B13-soc02F,B13-soc02,B13-soc03,B13-soc04F,B13-soc04,B13-soc05,B13-soc06F,B13-soc06,B13-gve01F,B13-gve01,B13-gve02F,B13-gve02,B13-gve03F,B13-gve03,B13-gve04F,B13-gve04,B13-gvf01,B13-gvf02,B13-gvf03,B13-gvf04,B13-gvf05,B13-gvf06,B13-gvf07
00000,US,00,000,010,0,,,UNITED STATES,272690813,43521432,,38901969,11.9,,160,27251862,,6555989,,2808000,,2098000,,17042000,,10227429,747030290,284397653,267783607,1062,208524416,73.3,723603907
01000,AL,01,000,040,0,,,ALABAMA,4369862,810196,,708711,14.3,,185,444171,,160292,,53249,,42064,,288880,,175369,8918376,2474001,4320281,573,904159,36.5,8852982
01001,AL,01,001,050,1,5240,,"Autauga, AL",43140,6572,,4775,37.6,,152,3535,,1196,,86,,261,,1786,,1143,58038,13755,41293,333,3455,25.1,72552
01003,AL,01,003,050,1,5160,,"Baldwin, AL",135820,27152,,18985,43.0,,200,17225,,2656,,265,,841,,7663,,5169,282324,71808,128770,558,27071,37.7,309354
01005,AL,01,005,050,4,,,"Barbour, AL",26726,5310,,4590,15.7,,199,2800,,1751,,62,,177,,1999,,1186,54990,10064,26747,376,3150,31.3,52610
01007,AL,01,007,050,4,,,"Bibb, AL",19601,3707,,3135,18.2,,189,1730,,908,,76,,117,,1026,,898,39019,4309,18639,231,1481,34.4,37787
01009,AL,01,009,050,1,1000,,"Blount, AL",47411,8452,,5635,50.0,,178,4530,,1162,,94,,287,,1581,,1267,67694,10399,44897,232,6776,65.2,66528
01011,AL,01,011,050,4,,,"Bullock, AL",11343,2469,,2260,9.2,,218,1205,,949,,42,,70,,726,,560,17960,2952,11310,261,1316,44.6,15482
01013,AL,01,013,050,4,,,"Butler, AL",21522,4801,,4700,2.1,,223,2625,,1347,,45,,135,,1073,,924,37840,7645,21769,351,2685,35.1,38205
01015,AL,01,015,050,1,0450,,"Calhoun, AL",116541,23828,,20785,14.6,,204,12990,,4422,,4953,,3881,,7422,,5393,301569,51086,117132,436,14631,28.6,293799
01017,AL,01,017,050,4,,,"Chambers, AL",36369,7889,,8015,-1.6,,217,5005,,1409,,58,,228,,1532,,1129,46643,11101,36640,303,3703,33.4,58522
01019,AL,01,019,050,4,,,"Cherokee, AL",21894,4928,,3575,37.8,,225,2810,,723,,48,,135,,1020,,858,30695,7258,21601,336,3361,46.3,30938
01021,AL,01,021,050,4,,,"Chilton, AL",37604,6966,,5870,18.7,,185,3520,,1256,,66,,229,,1465,,1021,45689,11672,36310,321,5961,51.1,53205
01023,AL,01,023,050,4,,,"Choctaw, AL",15518,3451,,3120,10.6,,222,1625,,999,,32,,99,,620,,558,25395,4076,15883,257,2508,61.5,26076
01025,AL,01,025,050,4,,,"Clarke, AL",28756,5926,,5295,11.9,,206,2950,,1722,,94,,177,,1876,,1044,50493,11863,28606,415,3773,31.8,48401
01027,AL,01,027,050,4,,,"Clay, AL",14012,3298,,2880,14.5,,235,1870,,521,,46,,87,,1041,,831,46219,2307,13841,167,990,42.9,36598
01029,AL,01,029,050,4,,,"Cleburne, AL",14456,2859,,2420,18.1,,198,1555,,491,,80,,89,,693,,403,22673,2820,14090,200,1821,64.6,21689
01031,AL,01,031,050,4,,,"Coffee, AL",42128,8332,,6745,23.5,,198,4855,,1490,,148,,263,,2218,,1905,69326,19470,42041,463,6764,34.7,66338
01033,AL,01,033,050,1,2650,,"Colbert, AL",52552,12161,,10340,17.6,,231,6395,,1820,,1457,,328,,4014,,3018,146022,23518,53094,443,7510,31.9,152037
01035,AL,01,035,050,4,,,"Conecuh, AL",13728,3350,,3010,11.3,,244,1690,,878,,45,,94,,842,,480,17181,3231,14032,230,2239,69.3,17116
01037,AL,01,037,050,4,,,"Coosa, AL",11712,2618,,2125,23.2,,224,1390,,525,,25,,72,,433,,310,13485,2327,11585,201,1259,54.1,12890
01039,AL,01,039,050,4,,,"Covington, AL",37587,9030,,8675,4.1,,240,5605,,1584,,147,,234,,2063,,1386,61488,13504,37432,361,4345,32.2,63657
01041,AL,01,041,050,4,,,"Crenshaw, AL",13619,3211,,3045,5.5,,236,1820,,832,,46,,85,,599,,504,17872,2315,13694,169,1256,54.3,19687
01043,AL,01,043,050,4,,,"Cullman, AL",75661,15325,,13280,15.4,,203,8695,,2474,,257,,465,,3453,,2363,144301,24797,74086,335,7566,30.5,135142
01045,AL,01,045,050,1,2180,,"Dale, AL",49127,8286,,6925,19.7,,169,4440,,1755,,3004,,4343,,2791,,1843,75593,18480,49101,376,6572,35.6,78614
01047,AL,01,047,050,4,,,"Dallas, AL",46669,10000,,9805,2.0,,214,5015,,4786,,159,,290,,3014,,1898,83153,25822,47109,548,9200,35.6,75164
01049,AL,01,049,050,4,,,"De Kalb, AL",58948,13368,,10640,25.6,,227,7235,,2312,,171,,362,,2571,,1927,84854,18523,57653,321,6019,32.5,84834
01051,AL,01,051,050,1,5240,,"Elmore, AL",63488,10270,,8495,20.9,,162,5740,,1828,,131,,384,,3143,,2008,86957,13916,60340,231,5099,36.6,88453
01053,AL,01,053,050,4,,,"Escambia, AL",36671,7675,,6845,12.1,,209,4100,,1418,,75,,236,,2774,,1450,79328,11793,36622,322,4307,36.5,74009
01055,AL,01,055,050,1,2880,,"Etowah, AL",103472,23333,,21720,7.4,,226,12090,,4267,,308,,646,,5086,,3497,184125,58398,103758,563,15876,27.2,176259
01057,AL,01,057,050,4,,,"Fayette, AL",18103,4285,,3490,22.8,,237,2465,,790,,51,,112,,1312,,857,29037,3530,18110,195,1356,38.4,31414
01059,AL,01,059,050,4,,,"Franklin, AL",29716,6712,,6305,6.5,,226,3515,,1237,,93,,184,,1791,,950,54680,7780,29606,263,4030,51.8,45309
01061,AL,01,061,050,4,,,"Geneva, AL",24968,6036,,5335,13.1,,242,3525,,1208,,72,,155,,1359,,1098,34658,5752,24845,232,2341,40.7,38071
01063,AL,01,063,050,4,,,"Greene, AL",9756,2167,,2000,8.4,,222,980,,975,,33,,61,,731,,565,21014,2476,9931,249,1160,46.8,19674
01065,AL,01,065,050,4,,,"Hale, AL",16870,3210,,3290,-2.4,,190,1565,,1203,,60,,104,,907,,708,27191,2613,16442,159,1254,48.0,28263
01067,AL,01,067,050,4,,,"Henry, AL",15787,3617,,3170,14.1,,229,2095,,777,,50,,98,,756,,752,31316,3909,15699,249,1573,40.2,32753
01069,AL,01,069,050,1,2180,,"Houston, AL",86116,16524,,13065,26.5,,192,9530,,3431,,344,,534,,6690,,5468,312748,54423,85133,639,17884,32.9,315557
01071,AL,01,071,050,4,,,"Jackson, AL",51535,10279,,9170,12.1,,199,5650,,1921,,458,,318,,3244,,2251,126148,17657,50704,348,6113,34.6,122306
01073,AL,01,073,050,1,1000,,"Jefferson, AL",657422,124174,,124965,-0.6,,189,67255,,21856,,9305,,4536,,49243,,27566,1671453,730463,660202,1106,277142,37.9,1626865
01075,AL,01,075,050,4,,,"Lamar, AL",16034,3768,,3330,13.2,,235,2300,,658,,45,,98,,615,,443,30319,5017,15957,314,1831,36.5,29003
01077,AL,01,077,050,1,2650,,"Lauderdale, AL",84327,18047,,15485,16.5,,214,10005,,2552,,324,,531,,5999,,4111,261017,59375,83909,708,36743,61.9,241711
01079,AL,01,079,050,1,2030,,"Lawrence, AL",33795,5942,,4610,28.9,,176,3040,,1254,,90,,207,,1384,,1046,55853,5491,33278,165,2625,47.8,56826
01081,AL,01,081,050,1,0580,,"Lee, AL",102164,13498,,9840,37.2,,132,7775,,2559,,331,,726,,12233,,4240,272445,53788,98438,546,16758,31.2,269941
01083,AL,01,083,050,1,3440,,"Limestone, AL",63037,10211,,7675,33.0,,162,5570,,1788,,1448,,386,,4143,,2346,106191,14337,61135,235,4265,29.7,115986
01085,AL,01,085,050,4,,,"Lowndes, AL",13029,2466,,2015,22.4,,189,1075,,1040,,28,,81,,718,,540,22075,2480,12876,193,1121,45.2,20057
01087,AL,01,087,050,4,,,"Macon, AL",22993,4028,,3870,4.1,,175,2155,,1282,,1287,,156,,1232,,1147,40542,10809,23074,468,3756,34.7,37088
01089,AL,01,089,050,1,3440,,"Madison, AL",280381,37069,,27605,34.3,,132,22705,,5439,,13817,,3131,,19355,,12539,501626,183103,272382,672,71013,38.8,573742
01091,AL,01,091,050,4,,,"Marengo, AL",23158,4631,,4170,11.1,,200,2390,,1550,,78,,162,,1728,,1283,60970,9894,23508,421,4838,48.9,71793
01093,AL,01,093,050,4,,,"Marion, AL",30464,6627,,5935,11.7,,218,3730,,1048,,75,,192,,1502,,968,45933,9665,30914,313,2959,30.6,42799
01095,AL,01,095,050,4,,,"Marshall, AL",80524,15474,,14985,3.3,,192,8615,,3070,,340,,498,,4971,,3206,132735,33688,79951,421,9366,27.8,124593
01097,AL,01,097,050,1,5160,,"Mobile, AL",399652,68689,,61405,11.9,,172,36290,,13763,,2477,,3261,,24677,,13794,758479,278795,398229,700,82927,29.7,719355
01099,AL,01,099,050,4,,,"Monroe, AL",23960,4794,,4265,12.4,,200,2565,,1068,,57,,149,,1437,,1123,41645,6865,24147,284,3183,46.4,46110
01101,AL,01,101,050,1,5240,,"Montgomery, AL",215813,35824,,32175,11.3,,166,20430,,9288,,6832,,6363,,24329,,7872,379748,151586,217715,696,36785,24.3,365476
01103,AL,01,103,050,1,2030,,"Morgan, AL",109665,19437,,16630,16.9,,177,11065,,3026,,289,,679,,6691,,4764,286226,56443,108377,521,25037,44.4,297324
01105,AL,01,105,050,4,,,"Perry, AL",12610,2799,,2430,15.2,,222,1355,,1208,,30,,87,,616,,610,23121,2720,12605,216,1311,48.2,22666
01107,AL,01,107,050,4,,,"Pickens, AL",21028,4600,,4370,5.3,,219,2515,,1497,,58,,131,,946,,1159,41193,4919,20946,235,2264,46.0,40975
01109,AL,01,109,050,4,,,"Pike, AL",28469,5487,,5440,0.9,,193,3005,,1798,,93,,183,,2385,,1117,43759,11241,28540,394,3282,29.2,51817
01111,AL,01,111,050,4,,,"Randolph, AL",20263,4845,,4435,9.2,,239,2990,,856,,48,,124,,1388,,785,32531,6594,19962,330,4142,62.8,33230
01113,AL,01,113,050,1,1800,,"Russell, AL",50071,9528,,8725,9.2,,190,5325,,2023,,97,,312,,2367,,2277,107844,23978,50737,473,8095,33.8,97108
01115,AL,01,115,050,1,1000,,"St. Clair, AL",63852,10356,,7185,44.1,,162,5330,,1350,,104,,384,,2165,,1643,78491,21036,60648,347,7335,34.9,76901
01117,AL,01,117,050,1,1000,,"Shelby, AL",146392,16753,,9130,83.5,,114,9440,,1438,,257,,872,,4830,,3902,190144,79112,135805,583,32296,40.8,174637
01119,AL,01,119,050,4,,,"Sumter, AL",15615,2862,,2770,3.3,,183,1380,,1250,,43,,98,,1410,,600,28483,6717,15901,422,3473,51.7,28248
01121,AL,01,121,050,4,,,"Talladega, AL",77521,16785,,14775,13.6,,217,8230,,4003,,527,,475,,4628,,3009,116055,25084,76648,327,8874,35.4,121139
01123,AL,01,123,050,4,,,"Tallapoosa, AL",40329,9162,,7980,14.8,,227,5480,,1683,,98,,252,,1933,,1719,74665,16037,40287,398,6237,38.9,75082
01125,AL,01,125,050,1,8600,,"Tuscaloosa, AL",161435,27081,,22660,19.5,,168,14610,,5697,,1477,,1025,,18547,,8927,476655,64674,159878,405,33125,51.2,431021
01127,AL,01,127,050,4,,,"Walker, AL",71318,16097,,15540,3.6,,226,7620,,3264,,197,,440,,3277,,2141,100825,26393,70677,373,7849,29.7,104129
01129,AL,01,129,050,4,,,"Washington, AL",17742,3590,,2895,24.0,,202,1655,,882,,40,,110,,989,,891,35267,7254,17585,413,5529,76.2,35546
01131,AL,01,131,050,4,,,"Wilcox, AL",13414,2981,,2935,1.6,,222,1250,,1849,,85,,84,,796,,645,31224,3384,13455,252,1284,37.9,38313
01133,AL,01,133,050,4,,,"Winston, AL",24459,5177,,4470,15.8,,212,2645,,1124,,91,,150,,1032,,1334,43144,5710,23970,238,2309,40.4,44208
02000,AK,02,000,040,0,,,ALASKA,619500,51320,,33656,52.5,,83,29287,,8165,,17041,,22707,,53138,,23132,2464605,792487,608846,1302,634713,80.1,2453129
02013,AK,02,013,050,4,,,"Aleutians East, AK",2179,90,*,(\3),(NA),,41,55,*,(\3),,20,,17,,220,,145,16303,4973,2288,2174,951,19.1,15016
02016,AK,02,016,050,4,,,"Aleutians West, AK",3913,158,\3,180,-12.2,,40,85,\3,16,,55,,56,,422,,353,33991,14645,4100,3572,4381,29.9,32490
02020,AK,02,020,050,1,0380,,"Anchorage, AK",257808,19490,,12425,56.9,,76,11340,,3791,,9954,,10753,,17745,,7869,747046,234712,251359,934,209716,89.4,796112
02050,AK,02,050,050,4,,,"Bethel, AK",16215,1187,\4,665,(NA),,73,440,\4,364,,124,,120,,2138,,481,35622,3351,15771,212,0,0.0,33560
02060,AK,02,060,050,4,,,"Bristol Bay, AK",1061,106,,165,-35.8,,100,65,,5,,46,,10,,315,,104,10552,2710,1091,2484,1448,53.4,10888
02068,AK,02,068,050,4,,,"Denali, AK",1883,94,*,(\5),(NA),,50,55,*,(\5),,189,,134,,115,,71,6008,1671,1968,849,196,11.7,5157
02070,AK,02,070,050,4,,,"Dillingham, AK",4565,434,\6,415,(NA),,95,195,\6,98,,51,,34,,534,,193,13385,1807,4446,406,0,0.0,15285
02090,AK,02,090,050,4,,,"Fairbanks North Star, AK",84366,5858,,4255,37.7,,69,3425,,846,,3302,,7723,,6504,,2554,261439,58737,83261,705,53216,90.6,268402
02100,AK,02,100,050,4,,,"Haines, AK",2288,336,,265,26.8,,147,235,,23,,12,,17,,166,,111,10546,4163,2311,1801,1908,45.8,9645
02110,AK,02,110,050,4,,,"Juneau, AK",30192,2682,,2045,31.1,,89,1620,,345,,840,,428,,5841,,1573,160378,50123,30296,1654,23145,46.2,147961
02122,AK,02,122,050,4,,,"Kenai Peninsula, AK",48993,5375,,3220,66.9,,110,3175,,643,,401,,456,,3767,,1794,181577,62859,47806,1315,38038,60.5,177789
02130,AK,02,130,050,4,,,"Ketchikan Gateway, AK",14097,1510,,1245,21.3,,107,970,,165,,273,,313,,1504,,684,90069,22178,14642,1515,10566,47.6,63045
02150,AK,02,150,050,4,,,"Kodiak Island, AK",14350,858,,565,51.9,,60,535,,100,,169,,976,,947,,633,60031,13109,14719,891,6308,48.1,58616
02164,AK,02,164,050,4,,,"Lake and Peninsula, AK",1748,170,*,(\6),(NA),,97,85,,0,,48,,13,,115,,201,17821,4339,1725,2515,1437,33.1,20513
02170,AK,02,170,050,4,,,"Matanuska-Susitna, AK",57945,5429,,2765,96.3,,94,3035,,598,,136,,424,,2761,,1630,147199,41049,53920,761,33349,81.2,135795
02180,AK,02,180,050,4,,,"Nome, AK",8908,865,,575,50.4,,97,350,,174,,80,,91,,1271,,341,33974,4121,8931,461,1307,31.7,40140
02185,AK,02,185,050,4,,,"North Slope, AK",7089,524,,290,80.7,,74,205,,36,,28,,54,,1921,,1918,335586,224051,7223,31019,223923,99.9,324986
