B1-geo01,B1-geo02,B1-geo03,B1-geo04,B1-geo05,B1-geo06,B1-geo07,B1-geo08,B1-geo09,B1-lnd01,B1-pop01,B1-pop02,B1-pop03,B1-pop04,B1-pop05,B1-pop06F,B1-pop06,B1-pop07F,B1-pop07,B1-pop08F,B1-pop08,B1-pop09,B1-pop10F,B1-pop10,B1-pop11F,B1-pop11,B1-pop12,B1-pop13F,B1-pop13,B1-pop14F,B1-pop14,B1-pop15,B1-pop16
00000,US,00,000,010,0,,,UNITED STATES,3537441,284796887,(X),281421906,(X),79.6,,248790925,,(X),,226542199,3374981,,32630981,,22248726,1.2,,13.1,,9.8,35305818,12.5
01000,AL,01,000,040,0,,,ALABAMA,50744,4464356,(X),4447100,(X),87.6,,4040389,,(X),,3894025,17256,,406711,,146364,0.4,,10.1,,3.8,75830,1.7
01001,AL,01,001,050,1,5240,,"Autauga, AL",596,44876,1008,43671,1022,73.3,,34222,,1160,,32259,1205,,9449,,1963,2.8,,27.6,,6.1,610,1.4
01003,AL,01,003,050,1,5160,,"Baldwin, AL",1596,145799,382,140415,390,88,,98280,,467,,78556,5384,,42135,,19724,3.8,,42.9,,25.1,2466,1.8
01005,AL,01,005,050,4,,,"Barbour, AL",885,28947,1426,29038,1424,32.8,,25417,,1450,,24756,-91,,3621,,661,-0.3,,14.2,,2.7,478,1.6
01007,AL,01,007,050,4,,,"Bibb, AL",623,21108,1739,20826,1743,33.4,,16598,,1878,,15723,282,,4228,,875,1.4,,25.5,,5.6,210,1
01009,AL,01,009,050,1,1000,,"Blount, AL",646,52239,895,51024,909,79,,39248,,1019,,36459,1215,,11776,,2789,2.4,,30.0,,7.6,2718,5.3
01011,AL,01,011,050,4,,,"Bullock, AL",625,11502,2335,11714,2318,18.7,,11042,,2289,,10596,-212,,672,,446,-1.8,,6.1,,4.2,322,2.7
01013,AL,01,013,050,4,,,"Butler, AL",777,21147,1734,21399,1718,27.5,,21892,,1584,,21680,-252,,-493,,212,-1.2,,-2.3,,1.0,143,0.7
01015,AL,01,015,050,1,0450,,"Calhoun, AL",608,111338,491,112249,478,184.6,,116032,,396,,119761,-911,,-3783,,-3729,-0.8,,-3.3,,-3.1,1753,1.6
01017,AL,01,017,050,4,,,"Chambers, AL",597,36457,1209,36583,1200,61.3,,36876,,1079,,39191,-126,,-293,,-2315,-0.3,,-0.8,,-5.9,280,0.8
01019,AL,01,019,050,4,,,"Cherokee, AL",553,24147,1602,23988,1593,43.4,,19543,,1696,,18760,159,,4445,,783,0.7,,22.7,,4.2,204,0.9
01021,AL,01,021,050,4,,,"Chilton, AL",694,39995,1123,39593,1124,57.1,,32458,,1202,,30612,402,,7135,,1846,1.0,,22.0,,6.0,1152,2.9
01023,AL,01,023,050,4,,,"Choctaw, AL",914,15720,2039,15922,2025,17.4,,16018,,1922,,16839,-202,,-96,,-821,-1.3,,-0.6,,-4.9,107,0.7
01025,AL,01,025,050,4,,,"Clarke, AL",1238,27776,1456,27867,1454,22.5,,27240,,1382,,27702,-91,,627,,-462,-0.3,,2.3,,-1.7,180,0.6
01027,AL,01,027,050,4,,,"Clay, AL",605,14286,2138,14254,2145,23.6,,13252,,2116,,13703,32,,1002,,-451,0.2,,7.6,,-3.3,253,1.8
01029,AL,01,029,050,4,,,"Cleburne, AL",560,14298,2135,14123,2151,25.2,,12730,,2164,,12595,175,,1393,,135,1.2,,10.9,,1.1,198,1.4
01031,AL,01,031,050,4,,,"Coffee, AL",679,43349,1043,43615,1026,64.2,,40240,,994,,38533,-266,,3375,,1707,-0.6,,8.4,,4.4,1183,2.7
01033,AL,01,033,050,1,2650,,"Colbert, AL",595,55106,864,54984,859,92.4,,51666,,818,,54519,122,,3318,,-2853,0.2,,6.4,,-5.2,618,1.1
01035,AL,01,035,050,4,,,"Conecuh, AL",851,13839,2175,14089,2155,16.6,,14054,,2052,,15884,-250,,35,,-1830,-1.8,,0.2,,-11.5,102,0.7
01037,AL,01,037,050,4,,,"Coosa, AL",652,12143,2287,12202,2282,18.7,,11063,,2287,,11377,-59,,1139,,-314,-0.5,,10.3,,-2.8,158,1.3
01039,AL,01,039,050,4,,,"Covington, AL",1034,37107,1192,37631,1171,36.4,,36478,,1091,,36850,-524,,1153,,-372,-1.4,,3.2,,-1.0,292,0.8
01041,AL,01,041,050,4,,,"Crenshaw, AL",610,13725,2182,13665,2187,22.4,,13635,,2089,,14110,60,,30,,-475,0.4,,0.2,,-3.4,87,0.6
01043,AL,01,043,050,4,,,"Cullman, AL",738,77900,659,77483,654,105,,67613,,657,,61642,417,,9870,,5971,0.5,,14.6,,9.7,1688,2.2
01045,AL,01,045,050,1,2180,,"Dale, AL",561,48985,939,49129,928,87.6,,49633,,845,,47821,-144,,-504,,1812,-0.3,,-1.0,,3.8,1642,3.3
01047,AL,01,047,050,4,,,"Dallas, AL",981,46029,984,46365,975,47.3,,48130,,867,,53981,-336,,-1765,,-5851,-0.7,,-3.7,,-10.8,290,0.6
01049,AL,01,049,050,4,,,"De Kalb, AL",778,65506,752,64452,754,82.8,,54651,,788,,53658,1054,,9801,,993,1.6,,17.9,,1.9,3578,5.6
01051,AL,01,051,050,1,5240,,"Elmore, AL",621,67461,733,65874,741,106.1,,49210,,854,,43390,1587,,16664,,5820,2.4,,33.9,,13.4,805,1.2
01053,AL,01,053,050,4,,,"Escambia, AL",947,38181,1164,38440,1151,40.6,,35518,,1111,,38440,-259,,2922,,-2922,-0.7,,8.2,,-7.6,379,1
01055,AL,01,055,050,1,2880,,"Etowah, AL",535,103014,519,103459,514,193.4,,99840,,460,,103057,-445,,3619,,-3217,-0.4,,3.6,,-3.1,1763,1.7
01057,AL,01,057,050,4,,,"Fayette, AL",628,18320,1882,18495,1869,29.5,,17962,,1790,,18809,-175,,533,,-847,-0.9,,3.0,,-4.5,152,0.8
01059,AL,01,059,050,4,,,"Franklin, AL",636,30914,1377,31223,1370,49.1,,27814,,1357,,28350,-309,,3409,,-536,-1.0,,12.3,,-1.9,2316,7.4
01061,AL,01,061,050,4,,,"Geneva, AL",576,25438,1545,25764,1525,44.7,,23647,,1507,,24253,-326,,2117,,-606,-1.3,,9.0,,-2.5,453,1.8
01063,AL,01,063,050,4,,,"Greene, AL",646,9923,2454,9974,2449,15.4,,10153,,2373,,11021,-51,,-179,,-868,-0.5,,-1.8,,-7.9,58,0.6
01065,AL,01,065,050,4,,,"Hale, AL",644,17262,1940,17185,1941,26.7,,15498,,1953,,15604,77,,1687,,-106,0.4,,10.9,,-0.7,157,0.9
01067,AL,01,067,050,4,,,"Henry, AL",562,16292,2007,16310,2003,29,,15374,,1966,,15302,-18,,936,,72,-0.1,,6.1,,0.5,249,1.5
01069,AL,01,069,050,1,2180,,"Houston, AL",580,89232,594,88787,587,153.1,,81331,,559,,74632,445,,7456,,6699,0.5,,9.2,,9.0,1122,1.3
01071,AL,01,071,050,4,,,"Jackson, AL",1079,54147,877,53926,869,50,,47796,,879,,51407,221,,6130,,-3611,0.4,,12.8,,-7.0,610,1.1
01073,AL,01,073,050,1,1000,,"Jefferson, AL",1113,659743,81,662047,77,594.8,,651520,,71,,671371,-2304,,10527,,-19851,-0.3,,1.6,,-3.0,10284,1.6
01075,AL,01,075,050,4,,,"Lamar, AL",605,15579,2048,15904,2027,26.3,,15715,,1941,,16453,-325,,189,,-738,-2.0,,1.2,,-4.5,207,1.3
01077,AL,01,077,050,1,2650,,"Lauderdale, AL",669,87422,607,87966,593,131.5,,79661,,572,,80546,-544,,8305,,-885,-0.6,,10.4,,-1.1,894,1
01079,AL,01,079,050,1,2030,,"Lawrence, AL",693,34928,1260,34803,1258,50.2,,31513,,1230,,30170,125,,3290,,1343,0.4,,10.4,,4.5,367,1.1
01081,AL,01,081,050,1,0580,,"Lee, AL",609,116572,469,115092,469,189,,87146,,524,,76283,1480,,27946,,10863,1.3,,32.1,,14.2,1645,1.4
01083,AL,01,083,050,1,3440,,"Limestone, AL",568,66980,738,65676,742,115.6,,54135,,794,,46005,1304,,11541,,8130,2.0,,21.3,,17.7,1740,2.6
01085,AL,01,085,050,4,,,"Lowndes, AL",718,13418,2200,13473,2195,18.8,,12658,,2171,,13253,-55,,815,,-595,-0.4,,6.4,,-4.5,85,0.6
