B4-geo01,B4-geo02,B4-geo03,B4-geo04,B4-geo05,B4-geo06,B4-geo07,B4-geo08,B4-geo09,B4-vst01,B4-vst02F,B4-vst02,B4-vst03F,B4-vst03,B4-vst04F,B4-vst04,B4-vst05F,B4-vst05,B4-vst06,B4-vst07,B4-hlt01,B4-hlt02,B4-hlt03,B4-hlt04,B4-hlt05,B4-hlt06,B4-hlt07,B4-hlt08F,B4-hlt08,B4-hlt09F,B4-hlt09
00000,US,00,000,010,0,,,UNITED STATES,267783607,,3880894,,14.5,,2314245,,8.6,28045,7.2,**,**,**,**,**,33140,2013278,\11,38299382,\11,33237188
01000,AL,01,000,040,0,,,ALABAMA,4320281,,60914,,14.1,,43258,,10.0,581,9.5,**,**,**,**,**,349,27346,,676569,,553223
01001,AL,01,001,050,1,5240,,"Autauga, AL",41293,,575,,13.9,,328,,7.9,3,5.2,**,**,**,**,**,2,(C),,5192,,4232
01003,AL,01,003,050,1,5160,,"Baldwin, AL",128770,,1724,,13.4,,1214,,9.4,25,14.5,**,**,**,**,**,9,617,,22449,,19583
01005,AL,01,005,050,4,,,"Barbour, AL",26747,,353,,13.2,,284,,10.6,0,0.0,**,**,**,**,**,1,(C),,4389,,3451
01007,AL,01,007,050,4,,,"Bibb, AL",18639,,275,,14.8,,186,,10.0,1,3.6,**,**,**,**,**,1,(A),,3050,,2274
01009,AL,01,009,050,1,1000,,"Blount, AL",44897,,593,,13.2,,436,,9.7,3,5.1,**,**,**,**,**,3,230,,5605,,4609
01011,AL,01,011,050,4,,,"Bullock, AL",11310,,170,,15.0,,140,,12.4,1,5.9,**,**,**,**,**,1,(C),,1945,,1529
01013,AL,01,013,050,4,,,"Butler, AL",21769,,294,,13.5,,262,,12.0,1,3.4,**,**,**,**,**,2,(C),,4015,,3269
01015,AL,01,015,050,1,0450,,"Calhoun, AL",117132,,1588,,13.6,,1244,,10.6,20,12.6,**,**,**,**,**,10,618,,20378,,16168
01017,AL,01,017,050,4,,,"Chambers, AL",36640,,495,,13.5,,470,,12.8,3,6.1,**,**,**,**,**,3,244,,6877,,5721
01019,AL,01,019,050,4,,,"Cherokee, AL",21601,,268,,12.4,,248,,11.5,1,3.7,**,**,**,**,**,0,0,,3682,,2955
01021,AL,01,021,050,4,,,"Chilton, AL",36310,,490,,13.5,,361,,9.9,2,4.1,**,**,**,**,**,1,(C),,5500,,4420
01023,AL,01,023,050,4,,,"Choctaw, AL",15883,,211,,13.3,,178,,11.2,0,0.0,**,**,**,**,**,2,(C),,2775,,2159
01025,AL,01,025,050,4,,,"Clarke, AL",28606,,492,,17.2,,297,,10.4,3,6.1,**,**,**,**,**,2,(C),,4750,,3785
01027,AL,01,027,050,4,,,"Clay, AL",13841,,180,,13.0,,157,,11.3,2,11.1,**,**,**,**,**,1,(C),,2693,,2161
01029,AL,01,029,050,4,,,"Cleburne, AL",14090,,168,,11.9,,160,,11.4,1,6.0,**,**,**,**,**,1,(A),,2335,,1789
01031,AL,01,031,050,4,,,"Coffee, AL",42041,,566,,13.5,,432,,10.3,8,14.1,**,**,**,**,**,2,(E),,6899,,5842
01033,AL,01,033,050,1,2650,,"Colbert, AL",53094,,689,,13.0,,561,,10.6,7,10.2,**,**,**,**,**,4,(E),,9891,,8048
01035,AL,01,035,050,4,,,"Conecuh, AL",14032,,160,,11.4,,188,,13.4,5,31.3,**,**,**,**,**,1,(B),,2642,,2055
01037,AL,01,037,050,4,,,"Coosa, AL",11585,,146,,12.6,,113,,9.8,1,6.8,**,**,**,**,**,2,(B),,2041,,1543
01039,AL,01,039,050,4,,,"Covington, AL",37432,,504,,13.5,,464,,12.4,2,4.0,**,**,**,**,**,3,376,,7755,,6444
01041,AL,01,041,050,4,,,"Crenshaw, AL",13694,,172,,12.6,,186,,13.6,3,17.4,**,**,**,**,**,1,(C),,2783,,2321
01043,AL,01,043,050,4,,,"Cullman, AL",74086,,896,,12.1,,767,,10.4,4,4.5,**,**,**,**,**,5,512,,12788,,10850
