B5-geo01,B5-geo02,B5-geo03,B5-geo04,B5-geo05,B5-geo06,B5-geo07,B5-geo08,B5-geo09,B5-edc01F,B5-edc01,B5-edc02F,B5-edc02,B5-edc03F,B5-edc03,B5-edc04F,B5-edc04,B5-edc05F,B5-edc05,B5-edc06F,B5-edc06,B5-edc07F,B5-edc07,B5-edc08F,B5-edc08,B5-inc01,B5-inc02F,B5-inc02,B5-inc03,B5-pov01,B5-pov02,B5-pov03,B5-pov04,B5-pov05
00000,US,00,000,010,0,,,UNITED STATES,,46368903,,43993459,,41058718,,158868436,,119524718,,75.2,,32310253,,20.3,37005,,30056,23.1,35573858,3830994,14113067,13.3,19.9
01000,AL,01,000,040,0,,,ALABAMA,,737639,,727989,,716155,,2545969,,1702331,,66.9,,399228,,15.7,30790,,23597,30.5,700944,-22670,260970,16.2,23.8
01001,AL,01,001,050,1,5240,,"Autauga, AL",,8489,,7568,,6829,,20861,,14609,,70.0,,3026,,14.5,36803,,28337,29.9,5034,-290,2091,11.8,17.4
01003,AL,01,003,050,1,5160,,"Baldwin, AL",,22176,,19961,,16507,,64623,,47314,,73.2,,10870,,16.8,35438,,25712,37.8,14907,960,5614,11.1,16.7
01005,AL,01,005,050,4,,,"Barbour, AL",,4906,,5017,,5198,,15702,,8737,,55.6,,1857,,11.8,25925,,19389,33.7,6119,-125,2340,23.8,32.8
01007,AL,01,007,050,4,,,"Bibb, AL",,3689,,3539,,3536,,10065,,5215,,51.8,,476,,4.7,28039,,19775,41.8,3306,-148,1312,17.4,24.8
01009,AL,01,009,050,1,1000,,"Blount, AL",,8135,,7421,,7042,,25241,,15281,,60.5,,1773,,7.0,32676,,22382,46.0,6203,265,2323,13.3,20.1
01011,AL,01,011,050,4,,,"Bullock, AL",,1945,,1972,,2139,,6727,,3299,,49.0,,676,,10.0,20401,,14745,38.4,3051,-725,1114,29.2,34.2
01013,AL,01,013,050,4,,,"Butler, AL",,3850,,4300,,4423,,13490,,7116,,52.8,,1083,,8.0,22813,,16054,42.1,5106,-1709,1953,23.4,30.8
01015,AL,01,015,050,1,0450,,"Calhoun, AL",,19267,,19619,,20198,,72445,,48812,,67.4,,10266,,14.2,30432,,23802,27.9,18593,1208,6937,16.2,24.5
01017,AL,01,017,050,4,,,"Chambers, AL",,5686,,5750,,6744,,23681,,12848,,54.3,,2101,,8.9,28093,,21256,32.2,6192,-657,2285,16.8,24.7
01019,AL,01,019,050,4,,,"Cherokee, AL",,3933,,3714,,3429,,12954,,6924,,53.5,,866,,6.7,28922,,21368,35.4,3506,82,1265,15.8,25.0
01021,AL,01,021,050,4,,,"Chilton, AL",,6562,,6228,,6256,,20781,,11758,,56.6,,1550,,7.5,30539,,21627,41.2,6062,567,2344,16.3,24.2
01023,AL,01,023,050,4,,,"Choctaw, AL",,2431,,2929,,3117,,9806,,5324,,54.3,,836,,8.5,24714,,17115,44.4,3568,-1241,1316,22.3,29.6
01025,AL,01,025,050,4,,,"Clarke, AL",,5391,,5677,,5818,,16285,,9814,,60.3,,1755,,10.8,26898,,19067,41.1,6256,-704,2457,21.8,29.9
01027,AL,01,027,050,4,,,"Clay, AL",,2553,,2616,,2488,,8659,,4660,,53.8,,628,,7.3,26809,,19252,39.3,2061,-211,727,14.8,21.8
01029,AL,01,029,050,4,,,"Cleburne, AL",,2564,,2446,,2351,,8101,,4033,,49.8,,529,,6.5,29104,,21158,37.6,2123,187,782,14.7,21.4
01031,AL,01,031,050,4,,,"Coffee, AL",,8370,,8424,,7619,,25974,,17452,,67.2,,4274,,16.5,31316,,23905,31.0,6332,152,2391,14.9,23.1
01033,AL,01,033,050,1,2650,,"Colbert, AL",,8571,,8646,,9032,,34311,,22359,,65.2,,3956,,11.5,31413,,22378,40.4,7217,-260,2590,13.5,21.0
01035,AL,01,035,050,4,,,"Conecuh, AL",,2159,,2382,,2681,,8962,,4720,,52.7,,574,,6.4,22643,,15992,41.6,3833,-312,1479,27.4,39.2
01037,AL,01,037,050,4,,,"Coosa, AL",,1817,,1855,,2044,,7184,,3869,,53.9,,456,,6.3,26531,,20279,30.8,1847,-137,667,16.1,23.7
01039,AL,01,039,050,4,,,"Covington, AL",,6730,,6904,,6797,,24090,,13802,,57.3,,2198,,9.1,25691,,18394,39.7,7356,-615,2612,19.5,28.3
01041,AL,01,041,050,4,,,"Crenshaw, AL",,2300,,2382,,2553,,8797,,4511,,51.3,,740,,8.4,23472,,16460,42.6,2837,-442,1064,20.7,29.9
01043,AL,01,043,050,4,,,"Cullman, AL",,12242,,11927,,11754,,43909,,25816,,58.8,,3405,,7.8,30705,,21672,41.7,9809,-405,3470,13.0,18.9
01045,AL,01,045,050,1,2180,,"Dale, AL",,7599,,7899,,9375,,29258,,21722,,74.2,,3948,,13.5,30476,,24091,26.5,8357,1386,3446,17.3,26.2
01047,AL,01,047,050,4,,,"Dallas, AL",,9437,,10151,,10873,,28420,,16932,,59.6,,3474,,12.2,23379,,16493,41.8,13902,-3197,5467,29.7,39.2
01049,AL,01,049,050,4,,,"De Kalb, AL",,10240,,9889,,10000,,35484,,18819,,53.0,,2520,,7.1,27948,,20135,38.8,9096,-286,3383,15.5,23.4
01051,AL,01,051,050,1,5240,,"Elmore, AL",,11791,,10352,,9074,,31432,,20914,,66.5,,4031,,12.8,35305,,26341,34.0,7688,1045,3067,13.1,19.3
01053,AL,01,053,050,4,,,"Escambia, AL",,6460,,6443,,6912,,22527,,13490,,59.9,,1707,,7.6,25712,,18472,39.2,7401,-2183,2586,20.8,27.8
01055,AL,01,055,050,1,2880,,"Etowah, AL",,16391,,16548,,17453,,65672,,42084,,64.1,,6689,,10.2,28747,,22314,28.8,17664,1422,6312,16.9,25.5
01057,AL,01,057,050,4,,,"Fayette, AL",,2840,,2879,,3529,,11672,,6612,,56.6,,995,,8.5,28717,,19844,44.7,2851,-764,1006,15.6,22.3
01059,AL,01,059,050,4,,,"Franklin, AL",,5651,,5552,,4895,,18292,,10080,,55.1,,1269,,6.9,26592,,17907,48.5,4965,-726,1767,16.6,24.5
01061,AL,01,061,050,4,,,"Geneva, AL",,4293,,4322,,4200,,15475,,8579,,55.4,,1058,,6.8,26009,,20027,29.9,4699,116,1737,18.7,28.5
01063,AL,01,063,050,4,,,"Greene, AL",,1976,,2244,,2581,,5917,,3183,,53.8,,618,,10.4,17602,,11990,46.8,3521,-1054,1366,35.5,44.6
01065,AL,01,065,050,4,,,"Hale, AL",,3407,,3511,,3476,,9244,,5026,,54.4,,822,,8.9,20704,,14508,42.7,4448,-972,1761,26.6,34.1
01067,AL,01,067,050,4,,,"Henry, AL",,2820,,2823,,2959,,9932,,5811,,58.5,,817,,8.2,28276,,22130,27.8,2882,246,1133,18.1,28.6
01069,AL,01,069,050,1,2180,,"Houston, AL",,15376,,15395,,15420,,51154,,34928,,68.3,,7696,,15.0,32086,,24813,29.3,14134,859,5628,16.4,24.4
01071,AL,01,071,050,4,,,"Jackson, AL",,9194,,9204,,9455,,30847,,17915,,58.1,,2471,,8.0,30791,,21910,40.5,7632,-269,2756,14.7,21.7
01073,AL,01,073,050,1,1000,,"Jefferson, AL",,111903,,111362,,106664,,425708,,314383,,73.8,,84718,,19.9,35464,,25858,37.1,95276,-7000,33805,14.5,21.5
01075,AL,01,075,050,4,,,"Lamar, AL",,2837,,2991,,2930,,10195,,5393,,52.9,,631,,6.2,26867,,20618,30.3,2902,104,1066,18.0,27.2
01077,AL,01,077,050,1,2650,,"Lauderdale, AL",,13341,,13448,,12877,,51436,,34916,,67.9,,8450,,16.4,33204,,23690,40.2,11222,-384,3820,13.3,19.6
01079,AL,01,079,050,1,2030,,"Lawrence, AL",,6258,,6176,,6161,,19498,,10835,,55.6,,1211,,6.2,31609,,21519,46.9,5326,-875,1925,15.7,22.2
01081,AL,01,081,050,1,0580,,"Lee, AL",,17124,,15279,,13376,,45484,,33305,,73.2,,11500,,25.3,31821,,21227,49.9,14671,-5863,4335,15.0,19.8
01083,AL,01,083,050,1,3440,,"Limestone, AL",,10912,,10229,,9236,,34872,,22016,,63.1,,4811,,13.8,35981,,26875,33.9,8231,906,3040,13.5,20.0
01085,AL,01,085,050,4,,,"Lowndes, AL",,2800,,2931,,2920,,6942,,3935,,56.7,,566,,8.2,20285,,15584,30.2,4152,-706,1724,31.5,39.4
01087,AL,01,087,050,4,,,"Macon, AL",,4062,,4265,,4771,,13759,,8523,,61.9,,2476,,18.0,21469,,15642,37.3,6792,-1020,2293,31.9,40.4
01089,AL,01,089,050,1,3440,,"Madison, AL",,44208,,41375,,37559,,152864,,122653,,80.2,,46049,,30.1,43239,,33048,30.8,30571,5282,11453,11.0,17.6
01091,AL,01,091,050,4,,,"Marengo, AL",,4867,,4880,,4412,,14050,,8625,,61.4,,1612,,11.5,25504,,18663,36.7,5630,-1221,2217,23.9,32.6
01093,AL,01,093,050,4,,,"Marion, AL",,5287,,5503,,5354,,19465,,9737,,50.0,,1301,,6.7,26919,,18455,45.9,4896,-687,1652,16.0,22.5
01095,AL,01,095,050,4,,,"Marshall, AL",,14696,,13952,,12227,,46678,,28693,,61.5,,5359,,11.5,29610,,21458,38.0,12108,36,4410,15.0,23.0
01097,AL,01,097,050,1,5160,,"Mobile, AL",,65324,,64645,,67092,,232254,,162914,,70.1,,36078,,15.5,29943,,22994,30.2,80068,755,31547,20.1,28.8
01099,AL,01,099,050,4,,,"Monroe, AL",,4726,,5256,,5156,,14228,,8429,,59.2,,1538,,10.8,28061,,21140,32.7,5239,-147,2153,21.6,30.5
01101,AL,01,101,050,1,5240,,"Montgomery, AL",,33994,,35255,,35924,,128365,,96652,,75.3,,31075,,24.2,34569,,26551,30.2,37506,1462,14853,17.6,26.2
01103,AL,01,103,050,1,2030,,"Morgan, AL",,19315,,18935,,18163,,64715,,44901,,69.4,,10019,,15.5,36984,,28364,30.4,12460,635,4621,11.4,16.9
01105,AL,01,105,050,4,,,"Perry, AL",,2293,,2420,,2615,,7153,,3646,,51.0,,825,,11.5,18069,,13769,31.2,4509,-645,1746,36.6,45.2
01107,AL,01,107,050,4,,,"Pickens, AL",,3844,,3951,,4183,,12963,,7281,,56.2,,859,,6.6,24567,,17879,37.4,4962,-943,1921,23.5,32.9
01109,AL,01,109,050,4,,,"Pike, AL",,4562,,4833,,4819,,15717,,9266,,59.0,,2242,,14.3,23915,,17312,38.1,6778,-265,2439,24.6,34.4
01111,AL,01,111,050,4,,,"Randolph, AL",,3775,,3824,,3814,,12809,,6446,,50.3,,992,,7.7,25882,,19440,33.1,3747,37,1416,18.6,27.9
01113,AL,01,113,050,1,1800,,"Russell, AL",,8936,,8590,,8248,,29672,,16922,,57.0,,2437,,8.2,28141,,20995,34.0,9444,4,3609,18.6,28.0
01115,AL,01,115,050,1,1000,,"St. Clair, AL",,10670,,9714,,9238,,31921,,19471,,61.0,,2708,,8.5,33812,,24106,40.3,8476,1330,3245,13.9,20.2
01117,AL,01,117,050,1,1000,,"Shelby, AL",,19211,,17773,,16145,,61938,,48431,,78.2,,17978,,29.0,52450,,36852,42.3,9616,694,3683,6.8,9.8
01119,AL,01,119,050,4,,,"Sumter, AL",,2864,,2866,,3282,,8954,,4695,,52.4,,996,,11.1,19199,,12811,49.9,5090,-1041,1906,33.1,40.1
01121,AL,01,121,050,4,,,"Talladega, AL",,13726,,14034,,14885,,46091,,27993,,60.7,,4704,,10.2,27147,,21378,27.0,14776,341,5582,19.4,27.6
01123,AL,01,123,050,4,,,"Tallapoosa, AL",,7030,,7088,,7502,,25161,,14550,,57.8,,2902,,11.5,27804,,22020,26.3,6817,701,2587,16.9,26.0
01125,AL,01,125,050,1,8600,,"Tuscaloosa, AL",,25771,,25099,,24956,,88962,,61900,,69.6,,17782,,20.0,31029,,23056,34.6,26524,-1776,9051,17.0,24.2
01127,AL,01,127,050,4,,,"Walker, AL",,11142,,11763,,12471,,44020,,24670,,56.0,,3154,,7.2,28254,,20464,38.1,10270,-1302,3710,14.4,21.2
01129,AL,01,129,050,4,,,"Washington, AL",,3708,,3755,,3580,,9960,,5794,,58.2,,671,,6.7,28549,,20082,42.2,3395,-725,1290,19.0,25.4
01131,AL,01,131,050,4,,,"Wilcox, AL",,2618,,2803,,3029,,7715,,3944,,51.1,,798,,10.3,17822,,12437,43.3,4858,-1176,1968,36.1,44.0
01133,AL,01,133,050,4,,,"Winston, AL",,4594,,4505,,3809,,14446,,7044,,48.8,,776,,5.4,25418,,17936,41.7,4074,-244,1356,16.8,23.5
02000,AK,02,000,040,0,,,ALASKA,,135374,,126348,,108967,,323429,,280185,,86.6,,74497,,23.0,43657,,41408,5.4,68409,20503,31968,11.2,16.2
02013,AK,02,013,050,4,,,"Aleutians East, AK",,366,,367,,389,,1531,,1017,,66.4,,198,,12.9,42714,,42384,0.8,322,30,125,14.2,20.8
02016,AK,02,016,050,4,,,"Aleutians West, AK",,608,,236,,1044,,5467,,4693,,85.8,,810,,14.8,44745,,35187,27.2,269,-393,62,6.7,8.2
