B6-geo01,B6-geo02,B6-geo03,B6-geo04,B6-geo05,B6-geo06,B6-geo07,B6-geo08,B6-geo09,B6-crm01F,B6-crm01,B6-crm02F,B6-crm02,B6-crm03F,B6-crm03,B6-crm04F,B6-crm04,B6-crm05F,B6-crm05,B6-crm06F,B6-crm06,B6-crm07F,B6-crm07,B6-crm08F,B6-crm08,B6-hsg01,B6-hsg02F,B6-hsg02,B6-hsg03,B6-hsg04,B6-hsg05,B6-bld01F,B6-bld01,B6-bld02F,B6-bld02,B6-bld03F,B6-bld03,B6-bld04F,B6-bld04,B6-bld05F,B6-bld05,B6-bld06F,B6-bld06
00000,US,00,000,010,0,,,UNITED STATES,,10674012,,1328303,,9345709,,13900249,,245566454,,4347,,238576855,,5826,115904641,,13.3,105480101,69815753,66.2,,1592267,,1198067,,75.2,,329283,,20.7,,185743965
01000,AL,01,000,040,0,,,ALABAMA,,184492,,20432,,164060,,189406,,4162142,,4433,,3655993,,5181,1963711,,17.6,1737080,1258705,72.5,,17406,,13672,,78.5,,3332,,19.1,,1718032
01001,AL,01,001,050,1,5240,,"Autauga, AL",,1665,,200,,1465,,1295,,42268,,3939,,19587,,6612,17662,,38.7,16003,12929,80.8,,181,,181,,100.0,,0,,0.0,,9855
01003,AL,01,003,050,1,5160,,"Baldwin, AL",,4805,,343,,4462,,2884,,133373,,3603,,89236,,3232,74285,,45.8,55336,44016,79.5,,2472,,1841,,74.5,,607,,24.6,,310388
01005,AL,01,005,050,4,,,"Barbour, AL",,708,,53,,655,,591,,27005,,2622,,25417,,2325,12461,,16.4,10409,7612,73.1,,67,,27,,40.3,,40,,59.7,,4236
01007,AL,01,007,050,4,,,"Bibb, AL",,(NA),,(NA),,(NA),,1,,(NA),,(NA),,9824,,10,8345,,30.3,7421,5951,80.2,,4,,4,,100.0,,0,,0.0,,310
01009,AL,01,009,050,1,1000,,"Blount, AL",,864,,75,,789,,659,,45426,,1902,,38616,,1707,21158,,34.0,19265,16075,83.4,,71,,59,,83.1,,12,,16.9,,9071
01011,AL,01,011,050,4,,,"Bullock, AL",,29,,6,,23,,267,,4250,,682,,3975,,6717,4727,,6.0,3986,2969,74.5,,1,,1,,100.0,,0,,0.0,,53
01013,AL,01,013,050,4,,,"Butler, AL",,835,,132,,703,,796,,21784,,3833,,9425,,8446,9957,,13.9,8398,6403,76.2,,104,,8,,7.7,,96,,92.3,,4196
01015,AL,01,015,050,1,0450,,"Calhoun, AL",,7210,,907,,6303,,6026,,117498,,6136,,116034,,5193,51322,,9.8,45307,32856,72.5,,336,,252,,75.0,,45,,13.4,,43645
01017,AL,01,017,050,4,,,"Chambers, AL",,1264,,193,,1071,,1005,,36864,,3429,,36876,,2725,16256,,9.0,14522,10994,75.7,,26,,26,,100.0,,0,,0.0,,2081
01019,AL,01,019,050,4,,,"Cherokee, AL",,184,,15,,169,,492,,3220,,5714,,18369,,2678,14025,,49.5,9719,7944,81.7,,14,,14,,100.0,,0,,0.0,,1358
