B7-geo01,B7-geo02,B7-geo03,B7-geo04,B7-geo05,B7-geo06,B7-geo07,B7-geo08,B7-geo09,B7-clf01F,B7-clf01,B7-clf02F,B7-clf02,B7-clf03F,B7-clf03,B7-clf04F,B7-clf04,B7-clf05F,B7-clf05,B7-bus01,B7-bus02F,B7-bus02,B7-bus03F,B7-bus03,B7-bus04F,B7-bus04,B7-bus05,B7-bus06F,B7-bus06,B7-bus07F,B7-bus07,B7-bus08F,B7-bus08,B7-bus09,B7-bus10
00000,US,00,000,010,0,,,UNITED STATES,,140863000,,139368000,,1.1,,5655000,,4.0,6941822,,12.4,,6613218,,6175563,108117731,,15.7,,100334745,,93476087,30609,100.0
01000,AL,01,000,040,0,,,ALABAMA,,2154273,,2140872,,0.6,,99092,,4.6,100316,,15.9,,96053,,86537,1604110,,19.4,,1553309,,1342993,25142,82.1
01001,AL,01,001,050,1,5240,,"Autauga, AL",,22598,,22439,,0.7,,831,,3.7,754,,28.9,,691,,585,8100,,22.0,,7898,,6639,21341,69.7
01003,AL,01,003,050,1,5160,,"Baldwin, AL",,71317,,70919,,0.6,,2243,,3.1,3760,,57.7,,3238,,2384,39662,,69.7,,34395,,23368,19825,64.8
01005,AL,01,005,050,4,,,"Barbour, AL",,14041,,13370,,5.0,,717,,5.1,605,,17.5,,554,,515,9773,,26.7,,8512,,7711,21634,70.7
01007,AL,01,007,050,4,,,"Bibb, AL",,7277,,7188,,1.2,,487,,6.7,340,,28.8,,327,,264,3636,,9.6,,4001,,3318,20225,66.1
01009,AL,01,009,050,1,1000,,"Blount, AL",,24163,,23970,,0.8,,643,,2.7,716,,39.0,,695,,515,7670,,18.5,,9238,,6472,19608,64.1
01011,AL,01,011,050,4,,,"Bullock, AL",,4569,,4459,,2.5,,454,,9.9,147,,2.8,,150,,143,2414,,23.5,,2416,,1954,18578,60.7
01013,AL,01,013,050,4,,,"Butler, AL",,9325,,9884,,-5.7,,1055,,11.3,525,,20.7,,513,,435,5925,,25.4,,6290,,4726,19738,64.5
01015,AL,01,015,050,1,0450,,"Calhoun, AL",,53322,,54379,,-1.9,,2778,,5.2,2549,,10.9,,2540,,2299,39928,,19.4,,38500,,33433,20645,67.4
01017,AL,01,017,050,4,,,"Chambers, AL",,15934,,16455,,-3.2,,747,,4.7,653,,23.0,,597,,531,11930,,1.0,,11706,,11815,22537,73.6
01019,AL,01,019,050,4,,,"Cherokee, AL",,10269,,10179,,0.9,,444,,4.3,365,,26.7,,336,,288,3520,,0.6,,3567,,3500,17197,56.2
01021,AL,01,021,050,4,,,"Chilton, AL",,19265,,18610,,3.5,,793,,4.1,774,,26.5,,723,,612,6471,,16.5,,6376,,5556,18889,61.7
01023,AL,01,023,050,4,,,"Choctaw, AL",,5501,,5804,,-5.2,,473,,8.6,315,,-0.6,,321,,317,3984,,-13.6,,4922,,4610,31526,103.0
01025,AL,01,025,050,4,,,"Clarke, AL",,13667,,13585,,0.6,,1216,,8.9,747,,21.7,,706,,614,8337,,15.6,,9167,,7209,21199,69.3
01027,AL,01,027,050,4,,,"Clay, AL",,6729,,6626,,1.6,,530,,7.9,231,,4.5,,231,,221,4461,,33.5,,4556,,3342,19269,63.0
01029,AL,01,029,050,4,,,"Cleburne, AL",,7232,,7231,,(Z),,255,,3.5,193,,22.9,,184,,157,2280,,20.8,,2422,,1887,21605,70.6
01031,AL,01,031,050,4,,,"Coffee, AL",,21665,,21890,,-1.0,,1325,,6.1,982,,16.2,,930,,845,13006,,9.8,,13386,,11847,18178,59.4
01033,AL,01,033,050,1,2650,,"Colbert, AL",,25531,,25365,,0.7,,1606,,6.3,1376,,7.6,,1392,,1279,18467,,0.3,,19760,,18407,23694,77.4
01035,AL,01,035,050,4,,,"Conecuh, AL",,5935,,5905,,0.5,,437,,7.4,266,,11.8,,253,,238,3773,,24.9,,3793,,3022,21644,70.7
01037,AL,01,037,050,4,,,"Coosa, AL",,5234,,5271,,-0.7,,309,,5.9,134,,6.3,,140,,126,1773,,31.7,,1782,,1346,20746,67.8
01039,AL,01,039,050,4,,,"Covington, AL",,17071,,17072,,(Z),,1579,,9.2,912,,9.1,,914,,836,12157,,2.6,,12525,,11854,19757,64.5
01041,AL,01,041,050,4,,,"Crenshaw, AL",,5371,,5388,,-0.3,,411,,7.7,272,,23.1,,253,,221,2806,,-6.1,,3557,,2989,17200,56.2
01043,AL,01,043,050,4,,,"Cullman, AL",,40536,,39511,,2.6,,1466,,3.6,1730,,29.5,,1578,,1336,22680,,28.5,,20411,,17656,22197,72.5
01045,AL,01,045,050,1,2180,,"Dale, AL",,21367,,21274,,0.4,,1150,,5.4,876,,22.3,,842,,716,10421,,-1.7,,10757,,10602,22807,74.5
