B8-geo01,B8-geo02,B8-geo03,B8-geo04,B8-geo05,B8-geo06,B8-geo07,B8-geo08,B8-geo09,B8-pie01F,B8-pie01,B8-pie02F,B8-pie02,B8-pie03F,B8-pie03,B8-pie04F,B8-pie04,B8-pie05F,B8-pie05,B8-pie06F,B8-pie06,B8-pie07F,B8-pie07,B8-pie08F,B8-pie08,B8-pie09F,B8-pie09,B8-pie10F,B8-pie10,B8-pie11F,B8-pie11,B8-pie12F,B8-pie12,B8-pie13F,B8-pie13,B8-pie14F,B8-pie14,B8-pie15F,B8-pie15,B8-pie16F,B8-pie16,B8-pie17F,B8-pie17,B8-pie18F,B8-pie18,B8-pie19F,B8-pie19,B8-pie20F,B8-pie20,B8-pie21F,B8-pie21,B8-pie22F,B8-pie22,B8-man01F,B8-man01,B8-man02F,B8-man02,B8-man03F,B8-man03
00000,US,00,000,010,0,,,UNITED STATES,,7351547000,,4885525000,,50.5,,270248003,,27203,,100.0,,983530000,,5302066000,,1241348000,,23.4,,891190000,,16.8,,4017702000,,75.8,,464753000,,8.8,,477189000,,9.0,,1503725000,,28.4,,850789000,,16.0,,891190000,,847972000,,800423000
01000,AL,01,000,040,0,,,ALABAMA,,95955607,,64094949,,49.7,,4351037,,22054,,81.1,,15961196,,66930143,,18514581,,27.7,,13753680,,20.5,,47370327,,70.8,,6264825,,9.4,,3769177,,5.6,,15479353,,23.1,,13408455,,20.0,,13753680,,13376333,,12886639
01001,AL,01,001,050,1,5240,,"Autauga, AL",,889975,,517354,,72.0,,42193,,21093,,77.5,,118802,,336137,,(D),,(D),,102015,,30.3,,(D),,(D),,51223,,15.2,,14345,,4.3,,51393,,15.3,,57994,,17.3,,102015,,95460,,93319
01003,AL,01,003,050,1,5160,,"Baldwin, AL",,3202983,,1566023,,104.5,,132857,,24109,,88.6,,440114,,1364771,,305821,,22.4,,174933,,12.8,,1046605,,76.7,,214334,,15.7,,135202,,9.9,,317718,,23.3,,243457,,17.8,,174933,,157019,,137288
01005,AL,01,005,050,4,,,"Barbour, AL",,521491,,341527,,52.7,,26936,,19360,,71.2,,111183,,330668,,138680,,41.9,,124117,,37.5,,175694,,53.1,,26237,,7.9,,10523,,3.2,,44652,,13.5,,58426,,17.7,,124117,,106705,,103672
01007,AL,01,007,050,4,,,"Bibb, AL",,345831,,210138,,64.6,,18987,,18214,,67.0,,72521,,132461,,(D),,(D),,26212,,19.8,,(D),,(D),,11617,,8.8,,(D),,(D),,18702,,14.1,,32453,,24.5,,26212,,28103,,28236
01009,AL,01,009,050,1,1000,,"Blount, AL",,917194,,538010,,70.5,,46292,,19813,,72.8,,144048,,313384,,93208,,29.7,,58984,,18.8,,178968,,57.1,,30419,,9.7,,14386,,4.6,,47733,,15.2,,51674,,16.5,,58984,,57260,,56408
01011,AL,01,011,050,4,,,"Bullock, AL",,179304,,113596,,57.8,,11325,,15833,,58.2,,50411,,99368,,(D),,(D),,(D),,(D),,(D),,(D),,7397,,7.4,,3026,,3.0,,12948,,13.0,,22474,,22.6,,(D),,21538,,18329
01013,AL,01,013,050,4,,,"Butler, AL",,363336,,246569,,47.4,,21658,,16776,,61.7,,97747,,203311,,68498,,33.7,,56897,,28.0,,125684,,61.8,,25366,,12.5,,5865,,2.9,,40394,,19.9,,31859,,15.7,,56897,,57090,,60719
01015,AL,01,015,050,1,0450,,"Calhoun, AL",,2378550,,1726727,,37.7,,117083,,20315,,74.7,,445462,,1694969,,383272,,33.7,,321613,,19.0,,(D),,(D),,168169,,9.9,,45245,,2.7,,275758,,16.3,,623122,,36.8,,321613,,313407,,293056
01017,AL,01,017,050,4,,,"Chambers, AL",,692416,,507084,,36.5,,36706,,18864,,69.3,,144295,,405989,,207186,,51.0,,187888,,46.3,,195557,,48.2,,42252,,10.4,,6829,,1.7,,58795,,14.5,,47659,,11.7,,187888,,185460,,168019
01019,AL,01,019,050,4,,,"Cherokee, AL",,387408,,241604,,60.3,,21827,,17749,,65.2,,81469,,160038,,(D),,(D),,30407,,19.0,,100061,,62.5,,19313,,12.1,,10961,,6.8,,20217,,12.6,,30280,,18.9,,30407,,37373,,34253
01021,AL,01,021,050,4,,,"Chilton, AL",,716286,,421529,,69.9,,36926,,19398,,71.3,,131470,,253248,,(D),,(D),,44406,,17.5,,(D),,(D),,43816,,17.3,,8635,,3.4,,35601,,14.1,,45689,,18.0,,44406,,45133,,44750
01023,AL,01,023,050,4,,,"Choctaw, AL",,281437,,201366,,39.8,,15829,,17780,,65.4,,68201,,217322,,(D),,(D),,134450,,61.9,,(D),,(D),,10550,,4.9,,2909,,1.3,,19874,,9.1,,18365,,8.5,,134450,,131151,,134451
01025,AL,01,025,050,4,,,"Clarke, AL",,522363,,365028,,43.1,,28531,,18309,,67.3,,120489,,309419,,129119,,41.7,,114700,,37.1,,179344,,58.0,,35611,,11.5,,14857,,4.8,,40571,,13.1,,57634,,18.6,,114700,,114308,,101542
01027,AL,01,027,050,4,,,"Clay, AL",,273031,,181119,,50.7,,13966,,19550,,71.9,,56895,,156057,,77697,,49.8,,72802,,46.7,,63789,,40.9,,7885,,5.1,,2747,,1.8,,13510,,8.7,,28745,,18.4,,72802,,66584,,72853
01029,AL,01,029,050,4,,,"Cleburne, AL",,256630,,176981,,45.0,,14283,,17968,,66.1,,47177,,116414,,(D),,(D),,34892,,30.0,,(D),,(D),,9367,,8.0,,1993,,1.7,,8631,,7.4,,22189,,19.1,,34892,,32287,,27251
01031,AL,01,031,050,4,,,"Coffee, AL",,911581,,634152,,43.7,,42222,,21590,,79.4,,159476,,456858,,139631,,30.6,,120926,,26.5,,272486,,59.6,,57870,,12.7,,18067,,4.0,,81426,,17.8,,72057,,15.8,,120926,,117042,,115269
01033,AL,01,033,050,1,2650,,"Colbert, AL",,1159627,,808744,,43.4,,52924,,21911,,80.5,,216787,,829474,,278566,,33.6,,206916,,24.9,,542033,,65.3,,73747,,8.9,,21772,,2.6,,130530,,15.7,,218600,,26.4,,206916,,244831,,245570
01035,AL,01,035,050,4,,,"Conecuh, AL",,250969,,168485,,49.0,,13863,,18104,,66.6,,67857,,157598,,(D),,(D),,31547,,20.0,,(D),,(D),,8582,,5.4,,(D),,(D),,19249,,12.2,,27078,,17.2,,31547,,26711,,26015
01037,AL,01,037,050,4,,,"Coosa, AL",,203636,,135180,,50.6,,11637,,17499,,64.3,,43698,,74192,,42570,,57.4,,39121,,52.7,,(D),,(D),,3741,,5.0,,(D),,(D),,7803,,10.5,,13509,,18.2,,39121,,37478,,37549
01039,AL,01,039,050,4,,,"Covington, AL",,698499,,479571,,45.7,,37461,,18646,,68.5,,167380,,418562,,(D),,(D),,98502,,23.5,,(D),,(D),,45559,,10.9,,13025,,3.1,,77707,,18.6,,64695,,15.5,,98502,,101725,,95005
01041,AL,01,041,050,4,,,"Crenshaw, AL",,260443,,170411,,52.8,,13626,,19114,,70.3,,61215,,137907,,(D),,(D),,19532,,14.2,,(D),,(D),,8646,,6.3,,3645,,2.6,,19705,,14.3,,18826,,13.7,,19532,,19554,,20870
01043,AL,01,043,050,4,,,"Cullman, AL",,1506472,,965840,,56.0,,74944,,20101,,73.9,,271939,,887157,,261307,,29.5,,205400,,23.2,,531020,,59.9,,136662,,15.4,,26332,,3.0,,169983,,19.2,,108852,,12.3,,205400,,195233,,185357
01045,AL,01,045,050,1,2180,,"Dale, AL",,944942,,741629,,27.4,,48916,,19318,,71.0,,173312,,888586,,(D),,(D),,205775,,23.2,,(D),,(D),,37549,,4.2,,13469,,1.5,,81074,,9.1,,474806,,53.4,,205775,,187579,,176428
01047,AL,01,047,050,4,,,"Dallas, AL",,827233,,595938,,38.8,,46803,,17675,,65.0,,231336,,512419,,162637,,31.7,,138667,,27.1,,335574,,65.5,,55903,,10.9,,17168,,3.4,,117213,,22.9,,91831,,17.9,,138667,,135521,,130591
01049,AL,01,049,050,4,,,"De Kalb, AL",,1172334,,731724,,60.2,,58274,,20118,,74.0,,221043,,741736,,(D),,(D),,311142,,41.9,,(D),,(D),,65886,,8.9,,17421,,2.3,,100310,,13.5,,79818,,10.8,,311142,,298468,,289554
01051,AL,01,051,050,1,5240,,"Elmore, AL",,1294827,,724507,,78.7,,61985,,20889,,76.8,,221177,,414753,,(D),,(D),,87788,,21.2,,(D),,(D),,49240,,11.9,,14573,,3.5,,69488,,16.8,,102301,,24.7,,87788,,80418,,66864
01053,AL,01,053,050,4,,,"Escambia, AL",,648452,,451278,,43.7,,36732,,17654,,64.9,,144160,,434168,,163738,,37.7,,118582,,27.3,,262228,,60.4,,46112,,10.6,,18273,,4.2,,52779,,12.2,,83301,,19.2,,118582,,114755,,111829
01055,AL,01,055,050,1,2880,,"Etowah, AL",,2112580,,1462518,,44.4,,103923,,20328,,74.7,,440061,,1255083,,(D),,(D),,363323,,28.9,,(D),,(D),,141778,,11.3,,45541,,3.6,,322833,,25.7,,168670,,13.4,,363323,,359887,,356301
01057,AL,01,057,050,4,,,"Fayette, AL",,330896,,232408,,42.4,,18096,,18286,,67.2,,73492,,164162,,83575,,50.9,,72269,,44.0,,80646,,49.1,,13451,,8.2,,3781,,2.3,,14236,,8.7,,36721,,22.4,,72269,,85913,,83519
01059,AL,01,059,050,4,,,"Franklin, AL",,580415,,369253,,57.2,,29684,,19553,,71.9,,129666,,339593,,(D),,(D),,132526,,39.0,,(D),,(D),,32460,,9.6,,9338,,2.7,,57791,,17.0,,56619,,16.7,,132526,,122179,,119759
01061,AL,01,061,050,4,,,"Geneva, AL",,462081,,326132,,41.7,,24875,,18576,,68.3,,108211,,204900,,54297,,26.5,,45560,,22.2,,115823,,56.5,,21002,,10.2,,6573,,3.2,,21002,,10.2,,37623,,18.4,,45560,,48405,,43310
